"ILL250","Moleculo","PacBio","PlatGen","Combined","1orMore","2orMore","3orMore","4orMore","SET"
0.1618,0.4601,0.2771,0.3469,0.1453,0.1236,0.1661,0.2168,0.3703,1
0.4631,0.8057,0.9389,0.3933,0.7667,0.8591,0.784,0.7524,0.8361,1
0.9853,0.1561,0.173,0.9627,0.9636,0.8864,0.9402,0.474,0.4436,1
0.4757,0.1409,0.5963,0.7706,0.4688,0.4818,0.4874,0.5373,0.4605,1
0.9428,0.5993,0.0447,0.7827,0.8192,0.6969,0.7875,0.7411,0.3569,1
0.5798,0.8148,0.3964,0.1101,0.5286,0.4709,0.4744,0.4423,0.4853,1
0.8912,0.768,0.7385,0.2116,0.7871,0.7632,0.8287,0.8135,0.7437,1
0.9952,0.0022,0.9467,0.9532,0.9814,0.9805,0.9844,0.9657,0.111,1
0.4527,0.8985,0.3109,0.1938,0.6843,0.5442,0.3972,0.4284,0.5291,1
0.15,0.0022,0.2619,0.4219,0.0351,0.0421,0.0564,0.0776,0,1
0.0139,0.3317,0.8031,0.3083,0.157,0.3521,0.2467,0.1804,0.0971,1
0.5308,0.9232,0.8209,0.8083,0.85,0.8695,0.9094,0.8977,0.9341,1
0.5017,0.2953,0.9172,0.7914,0.6956,0.8591,0.7402,0.7619,0.7459,1
0.9345,0.8886,0.2702,0.5989,0.8647,0.7849,0.8521,0.8352,0.7788,1
0.1821,0.7797,0.2611,0.1748,0.2502,0.2671,0.1865,0.2238,0.353,1
0.2619,0.4631,0.7381,0.183,0.3023,0.3378,0.3205,0.3183,0.4683,1
0.0386,0.2134,0.549,0.2736,0.0724,0.1141,0.1093,0.0984,0.1214,1
0.9748,0.9267,0.2949,0.9718,0.9727,0.9133,0.9696,0.9722,0.8868,1
0.9788,0.8131,0.2311,0.9744,0.9709,0.8912,0.961,0.9358,0.8127,1
0.9198,0.9662,0.9848,0.4527,0.9501,0.9926,0.9775,0.9627,0.9393,1
0.3422,0.4224,0.6483,0.1193,0.2689,0.2502,0.2667,0.3018,0.392,1
0.8578,0.585,0.2589,0.6882,0.7029,0.5598,0.6938,0.735,0.709,1
0.9345,0.0412,0.2589,0.8487,0.7966,0.6448,0.7923,0.418,0.2775,1
0.4991,0.7671,0.0061,0.2459,0.2819,0.2723,0.278,0.2866,0.033,1
0.4553,0.2064,0.2108,0.1956,0.1548,0.0811,0.118,0.1639,0.2164,1
0.3435,0.0828,0.2342,0.3326,0.1062,0.0564,0.0984,0.1466,0.1639,1
0.0837,0.1032,0.0308,0.1071,0.0035,0.0017,0.003,0.0074,0.033,1
0.5533,0.8435,0.0147,0.5225,0.546,0.438,0.4679,0.552,0.1639,1
0.0208,0.719,0.4263,0.9779,0.905,0.8474,0.7242,0.5199,0.2051,1
0.9788,0.719,0.1409,0.948,0.9462,0.8669,0.9297,0.8916,0.6752,1
0.1947,0.1032,0.0885,0.1713,0.0252,0.0074,0.0204,0.0364,0.0971,1
0.3951,0.9423,0.0624,0.3621,0.7823,0.6513,0.3374,0.3972,0.343,1
0.8317,0.0811,0.33,0.9111,0.7897,0.6188,0.7645,0.5225,0.3703,1
0.7264,0.2888,0.673,0.0273,0.4124,0.4458,0.412,0.3118,0.1899,1
0.0382,0.2164,0.9935,0.1023,0.4918,0.9536,0.1253,0.0707,0.0971,1
0.8738,0.8864,0.4458,0.7645,0.8595,0.7632,0.8656,0.9059,0.9024,1
0.1188,0.1114,0.4735,0.0755,0.046,0.0429,0.0347,0.0503,0.111,1
0.4124,0.7216,0.0108,0.9397,0.7784,0.6661,0.6509,0.5373,0.1318,1
0.3513,0.8287,0.1587,0.173,0.3959,0.3369,0.2324,0.2745,0.3825,1
0.0074,0.4271,0.9289,0.1787,0.2663,0.6631,0.2732,0.1635,0.0763,1
0.817,0.7637,0.0555,0.1787,0.536,0.435,0.5282,0.3166,0.2628,1
0.9354,0.8899,0.9952,0.9527,0.9666,0.9827,0.9735,0.9814,0.99,1
0.0785,0.4818,0.2745,0.0872,0.0603,0.0724,0.0681,0.085,0.1318,1
0.9584,0.5898,0.1002,0.2979,0.8075,0.7233,0.5195,0.4219,0.3994,1
0.0811,0.3573,0.8565,0.1969,0.281,0.4506,0.2415,0.1925,0.2329,1
0.3807,0.186,0.6869,0.0286,0.1882,0.2173,0.1739,0.1344,0.0763,1
0.0095,0.4835,0.418,0.0659,0.0256,0.0963,0.0794,0.0464,0.0538,1
0.1882,0.3534,0.2632,0.0299,0.0603,0.0451,0.052,0.0663,0.111,1
0.0286,0.6735,0.7962,0.0755,0.2446,0.4788,0.3625,0.1236,0.1756,1
0.4419,0.8452,0.0468,0.667,0.5798,0.4874,0.5069,0.5663,0.3504,1
0.124,0.5191,0.6284,0.4102,0.2585,0.3023,0.3417,0.3664,0.4605,1
0.4111,0.843,0.4996,0.5399,0.6184,0.5694,0.5963,0.6544,0.7754,1
0.1236,0.6518,0.8487,0.0954,0.3755,0.5694,0.418,0.242,0.343,1
0.3231,0.6665,0.0867,0.0082,0.1119,0.1453,0.1036,0.0616,0.0538,1
0.0447,0.5681,0.3244,0.9102,0.5954,0.6401,0.4748,0.3747,0.2502,1
0.4766,0.0139,0.3803,0.7129,0.3096,0.2619,0.3179,0.3378,0.111,1
0.0967,0.0733,0.0043,0.1414,0.0017,0.0017,0.0026,0.0022,0,1
0.0121,0.1067,0,0.0685,0,4e-04,0,9e-04,0,1
0.7433,0.0967,0.3014,0.6631,0.4575,0.3326,0.467,0.4007,0.3734,1
0.1097,0.1774,0.1631,0.3283,0.0399,0.0299,0.0477,0.0694,0.1318,1
0.1002,0.3205,0.5833,0.0464,0.0898,0.1266,0.0937,0.075,0.111,1
0.4315,0.2797,0.1691,0.0672,0.1279,0.0624,0.0785,0.1054,0.1834,1
0.6071,0.791,0.8226,0.8244,0.8062,0.8135,0.866,0.8916,0.9363,1
0.157,0.7927,0.2832,0.0564,0.1821,0.2723,0.1544,0.1275,0.2372,1
0.1552,0.2251,0.6275,0.0061,0.0776,0.1301,0.0776,0.0564,0,1
0.0711,0.3226,0.1821,0.0069,0.0113,0.0139,0.0139,0.0091,0,1
0.4267,0.559,0.7576,0.3842,0.474,0.5178,0.5117,0.5781,0.7303,1
0.3278,0.467,0.0564,0.2944,0.1045,0.0997,0.1318,0.1869,0.2225,1
0.1353,0.8968,0.2585,0.1106,0.5182,0.4523,0.1696,0.1726,0.2884,1
0.3144,0.1184,0.0468,0,0.0082,0.0078,0.0048,0.0048,0,1
0.1683,0.6388,0.3239,0.0538,0.1474,0.1609,0.1331,0.1271,0.2502,1
0.0551,0.4853,0.5516,0.0195,0.0902,0.1466,0.1245,0.0564,0.0763,1
0.0134,0.4293,0.0802,0.0785,0.0048,0.0195,0.0082,0.0139,0,1
0.1448,0.0061,0.1132,0.3625,0.0178,0.0143,0.0225,0.0364,0,1
0.0447,0.5356,0.6969,0.1453,0.16,0.2741,0.2446,0.1674,0.2277,1
0.402,0.5312,0.621,0.4089,0.4146,0.369,0.4358,0.5165,0.6804,1
0.0317,0.0373,0.026,0.0954,0.0013,4e-04,9e-04,0.0013,0,1
0.2281,0.6132,0.0147,0.1479,0.0898,0.1015,0.0759,0.1054,0.033,1
0.0585,0.2559,0.0199,0.2836,0.0113,0.0169,0.0178,0.013,0,1
0.0672,0.2147,0.206,0.0672,0.0156,0.0095,0.0152,0.0165,0.0538,1
0.1982,0.4909,0.1709,0.049,0.0789,0.0655,0.0611,0.0859,0.1756,1
0.0139,0.1479,0.1457,0.1154,0.0035,0.0039,0.0061,0.0091,0.033,1
0.5694,0.5317,0.3291,0.0156,0.2758,0.2233,0.2541,0.2463,0.1639,1
0.4783,0.4679,0.1878,0.0104,0.1539,0.1301,0.1353,0.124,0.0538,1
0.1171,0.3925,0.0633,0.0351,0.0147,0.0186,0.0108,0.0199,0.0763,1
0.3899,0.3335,0.1509,0.2728,0.1674,0.0893,0.1379,0.1925,0.3053,1
0.0286,0.843,0.0742,0.0091,0.1418,0.2628,0.0121,0.0052,0,1
0.085,0.3591,0.0425,0.3036,0.033,0.0416,0.0412,0.046,0.0538,1
0.304,0.3417,0.1904,0.1114,0.1119,0.0555,0.0811,0.1171,0.2164,1
0.304,0.8278,0.0165,0.9029,0.6483,0.6513,0.6834,0.4644,0.1639,1
0.2264,0.4337,0.4705,0.0772,0.1466,0.1362,0.157,0.1648,0.2918,1
0.1917,0.8643,0.2099,0.3226,0.448,0.3916,0.2632,0.2979,0.4098,1
0.1119,0.7897,0.1067,0.4905,0.2676,0.2879,0.2741,0.2272,0.2676,1
0.0234,0.5802,0.0841,0.3426,0.049,0.111,0.0954,0.0663,0.033,1
0.6054,0.843,0.0551,0.2255,0.5273,0.4115,0.3994,0.34,0.3101,1
0.1635,0.1019,0.1847,0.3161,0.0386,0.0252,0.0477,0.0776,0.1427,1
0.4072,0.6886,0.3873,0.3877,0.3469,0.3192,0.3894,0.4909,0.6422,1
0.8148,0.0494,0.1062,0.6453,0.4271,0.3075,0.4358,0.1804,0.1834,1
0.1435,0.2563,0.1583,0.1336,0.0386,0.0186,0.0343,0.0637,0.1318,1
0.8244,0.7958,0.1067,0.8534,0.7988,0.6093,0.801,0.8604,0.5932,1
0.2476,0.3673,0.3417,0.0629,0.0989,0.082,0.0971,0.1171,0.2277,1
0.0781,0.219,0.0533,0.209,0.0156,0.0104,0.0147,0.0221,0.033,1
0.2333,0.2949,0.0958,0.0755,0.0516,0.0204,0.0343,0.052,0.111,1
0.1435,0.2003,0.134,0.0967,0.0247,0.0095,0.0199,0.0386,0.0971,1
0.4683,0.2875,0.0052,0.2016,0.0941,0.072,0.0867,0.0915,0,1
0.3998,0.2324,0.0052,0.0676,0.0386,0.0299,0.0269,0.0204,0,1
0.5373,0.5291,0.0278,0.6873,0.3768,0.3001,0.4146,0.4623,0.2225,1
0.291,0.7207,0.0976,0.0841,0.15,0.1804,0.1245,0.1318,0.2164,1
0.1661,0.4883,0.1006,0.0755,0.0481,0.0503,0.039,0.0828,0.1535,1
0.0976,0.5234,0.1279,0.1379,0.0681,0.0624,0.052,0.0828,0.1639,1
0.222,0.382,0.0199,0.0928,0.0434,0.0299,0.0291,0.0395,0.0538,1
0.2485,0.4202,0.3526,0.1136,0.144,0.098,0.1279,0.1717,0.2884,1
0.5117,0.2142,0.3933,0.3083,0.2827,0.1652,0.2268,0.3161,0.3703,1
0.0126,0.5746,0.0655,0.1648,0.0134,0.069,0.0343,0.0221,0,1
0.5538,0.4705,0.2476,0.9644,0.8794,0.7728,0.6453,0.6141,0.6305,1
0.3053,0.2507,0.1227,0.9085,0.5494,0.5304,0.2806,0.2489,0.2775,1
0.3768,0.1466,0.18,0.0061,0.046,0.0299,0.0278,0.0347,0,1
0.3495,0.4402,0.4558,0.0811,0.1808,0.1635,0.1882,0.2324,0.3348,1
0.1171,0.4939,0.1305,0.1388,0.0729,0.0572,0.052,0.0915,0.1756,1
0.0295,0.1982,0.0373,0.0143,0.0022,0.0017,4e-04,0,0,1
0.3938,0.1427,0.1791,0.2801,0.1062,0.0577,0.0984,0.1375,0.2225,1
0.2602,0.1912,0.0295,0.3278,0.0607,0.033,0.0611,0.0633,0.0538,1
0.7754,0.8391,0.4761,0.5759,0.771,0.6487,0.7619,0.8205,0.8595,1
0.118,0.7242,0.1852,0.0525,0.1149,0.1735,0.0772,0.0785,0.1899,1
0.1045,0.5733,0.1999,0.1505,0.0937,0.0963,0.0837,0.1175,0.2108,1
0.7615,0.8101,0.1023,0.2121,0.5763,0.4605,0.5299,0.3938,0.3981,1
0.0126,0.4337,0.026,0.0633,0.003,0.016,0.003,0.0048,0,1
0.3144,0.585,0.4341,0.3747,0.3127,0.2615,0.3252,0.4159,0.5711,1
0.281,0.5204,0.1006,0.0711,0.0828,0.0841,0.0772,0.1028,0.1639,1
0.0898,0.4627,0.5356,0.0156,0.0919,0.1405,0.1232,0.072,0.033,1
0.0997,0.1787,0.2121,0.0386,0.0143,0.0082,0.0117,0.0204,0.033,1
0.9584,0.8005,0.2138,0.9896,0.9775,0.9185,0.9501,0.9284,0.7927,1
0.997,0.8283,0.0147,0.9922,0.9948,0.9775,0.9883,0.9328,0.2589,1
0.997,0.8287,0.1401,0.9948,0.9961,0.9805,0.9913,0.9397,0.7129,1
0.8912,0.32,0.477,0.9584,0.9055,0.7962,0.8907,0.7971,0.7632,1
0.8738,0.2372,0.1223,0.954,0.8764,0.7233,0.8287,0.484,0.4332,1
0.0585,0.4944,0.3768,0.023,0.0559,0.0885,0.0772,0.0438,0.033,1
0.9402,0.0837,0.1262,0.9835,0.9597,0.8504,0.9124,0.3391,0.271,1
0.9059,0.072,0.1648,0.9896,0.9683,0.8964,0.8742,0.3725,0.271,1
0.8135,0.7003,0.2615,0.9545,0.8907,0.7632,0.8504,0.8625,0.7823,1
0.9805,0.7741,0.5585,0.984,0.9761,0.9185,0.9705,0.9536,0.9393,1
0.9961,0.8339,0.0173,0.9718,0.9887,0.9662,0.9696,0.9324,0.2884,1
0.4037,0.1101,0.4163,0.1938,0.1717,0.095,0.1292,0.1717,0.2108,1
0.3053,0.3573,0.1951,0.5707,0.2142,0.1743,0.2307,0.2923,0.3825,1
0.6197,0.4159,0.1839,0.1167,0.2827,0.1756,0.1969,0.2164,0.3005,1
0.1891,0.7944,0.1141,0.1587,0.2433,0.2424,0.1253,0.1596,0.2676,1
0.186,0.869,0.0286,0.3057,0.4063,0.369,0.18,0.1856,0.1214,1
0.301,0.3317,0.1015,0.1379,0.085,0.0447,0.069,0.101,0.1834,1
0.8461,0.807,0.1791,0.954,0.9007,0.7728,0.8708,0.9016,0.7424,1
0.1644,0.1093,0.3083,0.0885,0.046,0.0169,0.0291,0.0551,0.0971,1
0.2368,0.8734,0.134,0.3478,0.51,0.4068,0.2658,0.3018,0.3903,1
0.6535,0.5642,0.0195,0.1114,0.2498,0.2173,0.2307,0.1396,0.0538,1
0.2394,0.3643,0.2923,0.0369,0.0989,0.062,0.0776,0.0885,0.1639,1
0.2398,0.8534,0.0512,0.2853,0.4063,0.3348,0.1969,0.2298,0.2277,1
0.3304,0.8504,0.0186,0.0633,0.3487,0.3153,0.1379,0.088,0.0971,1
0.6487,0.1245,0.036,0.0347,0.1245,0.0954,0.0234,0.0165,0,1
0.0343,0.6578,0.1795,0.1275,0.0685,0.1301,0.0637,0.075,0.0971,1
0.0169,0.4688,0.026,0.1899,0.0087,0.036,0.0204,0.0065,0,1
0.1106,0.4575,0.01,4e-04,0.0043,0.0225,0.0048,9e-04,0,1
0.0199,0.1856,0.0095,0.0035,4e-04,9e-04,0,0,0,1
0.0867,0.3599,0.1015,0.0178,0.0143,0.0134,0.0082,0.013,0,1
0.0603,0.4727,0.0239,0.0811,0.0126,0.0291,0.0082,0.0139,0,1
0.0095,0.7008,0.0377,0.9072,0.461,0.588,0.4835,0.0616,0,1
0.1644,0.131,0.2502,0.0165,0.0221,0.0104,0.0152,0.0199,0.033,1
0.3508,0.9111,0.0295,0.0512,0.5811,0.4753,0.1648,0.0928,0.1214,1
0.1722,0.3912,0.0408,0.2342,0.0603,0.0451,0.052,0.0785,0.1214,1
0.222,0.2099,0.0217,0.013,0.0104,0.0069,0.0048,0.0022,0,1
0.8131,0.3244,0.1097,0.1526,0.3968,0.2966,0.1999,0.1917,0.2372,1
0.0976,0.1006,0.1717,0.1171,0.0126,0.0048,0.0113,0.0221,0.0763,1
0.0165,0.4584,0.0724,0.1431,0.0104,0.033,0.0182,0.0204,0,1
0.1487,0.3725,0.0247,0.3365,0.0594,0.0555,0.0655,0.075,0.0763,1
0.0186,0.6626,0.0095,0.0468,0.0095,0.0876,0.0039,0.0013,0,1
0.0616,0.4523,0.1141,0.1548,0.0338,0.0395,0.0356,0.0594,0.0971,1
0.3239,0.8118,0.0776,0.6904,0.4727,0.4215,0.487,0.4644,0.3981,1
0.3127,0.1028,0.271,0.4081,0.134,0.085,0.1245,0.1739,0.2329,1
0.0776,0.0781,0.1739,0.0069,0.003,0.0022,0.0026,0.0035,0,1
0.0646,0.4883,0.0377,0.1548,0.0295,0.0421,0.0252,0.033,0.033,1
0.5555,0.258,0.0737,0.7554,0.3886,0.2823,0.3751,0.3148,0.2676,1
0.15,0.4883,0.461,0.0165,0.1002,0.1314,0.1245,0.101,0.1214,1
0.8846,0.4159,0.4107,0.8508,0.7944,0.6596,0.8235,0.7736,0.7715,1
0.3513,0.0967,0.2741,0.2437,0.1062,0.0503,0.0937,0.1357,0.2108,1
0.3213,0.098,0.1561,0.6028,0.144,0.1236,0.1531,0.1639,0.2051,1
0.0178,0.2372,0.611,0.0022,0.0152,0.0937,0.0351,0.0035,0,1
0.0442,0.673,0.1344,0.0017,0.0265,0.1097,0.0208,0.0091,0,1
0.4315,0.3135,0.082,0.1249,0.1279,0.0624,0.0811,0.1054,0.1756,1
0.1487,0.4996,0.0837,0.0048,0.0325,0.0447,0.0212,0.0286,0.033,1
0.0637,0.4636,0.0967,0.1171,0.0308,0.036,0.0278,0.0438,0.033,1
0.1136,0.5833,0.0707,0.0646,0.0481,0.072,0.0321,0.0512,0.111,1
0.2333,0.5065,0.3994,0.0672,0.1539,0.1401,0.1552,0.1648,0.2845,1
0.4072,0.2797,0.0195,0.1938,0.0989,0.052,0.0763,0.0863,0.033,1
0.2502,0.4102,0.2372,0.0074,0.082,0.062,0.0711,0.075,0.0538,1
0.0885,0.781,0.1175,0.248,0.1717,0.2298,0.1305,0.1288,0.1899,1
0.1644,0.3547,0.0139,0.1101,0.0265,0.0191,0.0199,0.026,0,1
0.1045,0.1045,0.0165,0.0637,0.0035,0.0013,0.0022,0.0035,0.033,1
0.0911,0.1943,0.1631,0.0048,0.0074,0.0048,0.0061,0.0074,0,1
0.0776,0.284,0.0269,0.0091,0.0039,0.0048,0.0017,0.0013,0,1
0.6106,0.1531,0.0221,0.088,0.1258,0.0876,0.0386,0.0317,0.033,1
0.1908,0.1101,0.1908,0.454,0.0941,0.0572,0.0811,0.1158,0.1535,1
0.1626,0.2567,0.3608,0.0603,0.0724,0.046,0.052,0.0694,0.1535,1
0.1362,0.2793,0.0139,0.1479,0.0173,0.0113,0.0147,0.023,0,1
0.3864,0.7823,0.1214,0.1184,0.3062,0.2645,0.2069,0.2151,0.2918,1
0.2056,0.0789,0.1288,0.023,0.0126,0.0039,0.0065,0.0091,0,1
0.2086,0.0173,0.026,0.0039,0.0022,0.0013,0,0,0,1
0.595,0.2619,0.082,0.1943,0.2077,0.1236,0.1262,0.1344,0.2051,1
0.0837,0.6605,0.0373,0.1214,0.0572,0.1028,0.0347,0.0494,0.0763,1
0.3768,0.2476,0.0247,0.3343,0.1002,0.062,0.1002,0.1097,0.0971,1
0.2654,0.1943,0.0108,0.8196,0.2173,0.2741,0.1687,0.1019,0.0538,1
0.1561,0.1093,0.0321,0.0121,0.0043,0.0017,0.0022,0.0013,0,1
0.0681,0.2567,0.0178,0.0434,0.0039,0.0035,0.0022,0.0048,0,1
0.4527,0.7268,0.0048,0.1826,0.2129,0.2246,0.2103,0.2073,0,1
0.4579,0.9102,0.0403,0.6852,0.7511,0.6123,0.5572,0.6123,0.3365,1
0.1487,0.8443,0.0412,0.1821,0.3153,0.2923,0.0971,0.1219,0.1639,1
0.0776,0.1236,0.1696,0.0438,0.0087,0.0035,0.0048,0.0108,0.033,1
0.8578,0.5811,0.0468,0.0672,0.4926,0.4124,0.3469,0.134,0.1427,1
0.1245,0.1652,0.1223,0.0017,0.0056,0.0035,0.0048,0.0091,0,1
0.1223,0.3946,0.0867,0.1136,0.0455,0.0286,0.0278,0.0564,0.111,1
0.4905,0.0304,0.0512,0.0733,0.0512,0.0269,0.0117,0.0204,0.033,1
0.2012,0.5304,0.0204,0.049,0.0499,0.0568,0.0343,0.0278,0.0538,1
0.1171,0.1596,0.0095,0.1735,0.0087,0.0048,0.0069,0.0108,0,1
0.997,0.8235,0.033,0.9926,0.9948,0.9805,0.9883,0.9324,0.3903,1
0.0139,0.7533,0.0061,0.2281,0.0351,0.1752,0.052,0.0091,0,1
0.0885,0.4441,0.0139,0.1652,0.0225,0.033,0.0247,0.0278,0,1
0.5364,0.2732,0.0156,0.1158,0.1253,0.082,0.075,0.0633,0.033,1
0.1704,0.8265,0.4527,0.1466,0.4068,0.4068,0.2905,0.2693,0.4172,1
0.6704,0.8101,0.1253,0.9228,0.8361,0.7047,0.7979,0.8144,0.6167,1
0.5004,0.0737,0.0126,0.0078,0.0269,0.0278,0.0035,9e-04,0,1
0.2736,0.7316,0.0399,0.0152,0.118,0.1752,0.0811,0.026,0.0538,1
0.0941,0.8304,0.1908,0.1639,0.2849,0.3001,0.1271,0.1444,0.2329,1
0.0139,0.382,0.0139,0.0304,0.0022,0.0082,9e-04,0,0,1
0.392,0.2437,0.0295,0.1613,0.0876,0.0395,0.0572,0.0663,0.0971,1
0.6058,0.3634,0.0269,0.6535,0.3443,0.252,0.3764,0.3664,0.1535,1
0.4644,0.3205,0.0178,0.0043,0.0581,0.0577,0.0369,0.0056,0,1
0.0069,0.3534,0.0377,0.0629,0.0017,0.0082,0.0026,0.0035,0,1
0.0026,0.7333,0.0143,0.5165,0.0338,0.2311,0.2069,0.0074,0,1
0.1934,0.3309,0.1214,0.082,0.0516,0.0252,0.0347,0.0672,0.1318,1
0.3812,0.392,0.18,0.0646,0.1318,0.082,0.0937,0.1219,0.2225,1
0.0286,0.2762,0.2502,0.0377,0.0113,0.0143,0.0147,0.0108,0.033,1
0.0386,0.634,0.0126,0.2021,0.0308,0.0954,0.0382,0.0239,0,1
0.1496,0.1236,0.0464,0.745,0.1201,0.1713,0.0772,0.0633,0.0763,1
0.0173,0.3066,0.0299,0.1557,0.0043,0.0095,0.0069,0.0052,0,1
0.83,0.0703,0.173,0.9237,0.794,0.588,0.745,0.3469,0.2775,1
0.294,0.9258,0.0095,0.3205,0.6665,0.546,0.2428,0.2745,0.033,1
0.588,0.7728,0.2103,0.2164,0.4618,0.3443,0.4124,0.4029,0.4779,1
0.1618,0.3851,0.1509,0.0212,0.0386,0.0299,0.0291,0.0395,0.0763,1
0.0082,0.4683,0.033,0.0095,0.0022,0.0169,9e-04,9e-04,0,1
0.0317,0.3664,0.206,0,0.0048,0.0186,0.0126,0.0048,0,1
0.0551,0.8508,0.0512,0.0373,0.2012,0.2741,0.0195,0.023,0.033,1
0.6735,0.7559,0.0395,0.9766,0.9237,0.8278,0.7979,0.784,0.3504,1
0.0538,0.4926,0.1062,0.0091,0.0156,0.033,0.0108,0.0091,0,1
0.0403,0.2853,0.3101,0.2359,0.0503,0.049,0.0681,0.0828,0.0763,1
0.0304,0.7199,0.0646,0.0386,0.0386,0.134,0.013,0.0091,0,1
0.6219,0.2832,0.0746,0.0841,0.1943,0.1279,0.0958,0.0889,0.1427,1
0.5807,0.4618,0.0659,0.7585,0.4532,0.3573,0.4636,0.4788,0.3504,1
0.3573,0.8313,0.0221,0.6969,0.5108,0.4462,0.4931,0.4909,0.1834,1
0.0776,0.4029,0.0291,0.0325,0.0095,0.0143,0.0048,0.0052,0,1
0.1678,0.4319,0.2125,0.0022,0.0425,0.0477,0.0425,0.052,0.0538,1
0.0941,0.7997,0.0108,0.6821,0.2775,0.3721,0.4007,0.1414,0.0538,1
0.5685,0.134,0.0165,0.5104,0.1808,0.1305,0.2155,0.1071,0.0538,1
0.1245,0.8075,0.0794,0.0043,0.1279,0.2285,0.0351,0.0286,0.0763,1
0.6049,0.2372,0.0386,0.8252,0.4692,0.3573,0.4436,0.2918,0.1899,1
0.435,0.2216,0.0139,0.0811,0.0633,0.0369,0.0343,0.0286,0,1
0.124,0.7082,0.0186,0.0568,0.0633,0.1327,0.0299,0.0252,0.0538,1
0.0082,0.9124,0.1162,0.4475,0.5039,0.523,0.2602,0.1219,0.0763,1
0.5525,0.8842,0.0299,0.8712,0.7988,0.699,0.7489,0.735,0.3322,1
0.2537,0.1938,0.1002,0.7225,0.1743,0.1934,0.1648,0.1648,0.1834,1
0.3569,0.3478,0.0221,0.0837,0.0603,0.0451,0.0464,0.0529,0.033,1
0.6856,0.2641,0.0486,0.4063,0.2905,0.1943,0.2472,0.2255,0.1756,1
0.0082,0.3044,0.0108,0.0299,9e-04,0.0035,4e-04,0,0,1
0.4341,0.5633,0.082,0.1136,0.1865,0.1401,0.1435,0.1678,0.2277,1
0.2042,0.5291,0.0225,0.0134,0.0386,0.0555,0.0269,0.0091,0,1
0.1262,0.2147,0.033,0.0022,0.0039,0.0035,0.0022,0.0022,0,1
0.0095,0.4033,0.0152,0.0039,0.0013,0.0082,0,0,0,1
